cond,prosocial,rounds,degenerate,survival_time_m,total_gain_R,efficiency_u,equality_e,over_usage_o
no_contract,3,10,0,10,444.0,0.888,0.9765765765765766,0.1
no_contract,3,12,0,12,514.0,0.8566666666666667,0.9704280155642023,0.08333333333333333
no_contract,3,12,0,12,384.0,0.64,0.9552083333333333,0.08333333333333333
no_contract,3,12,0,12,524.0,0.8733333333333333,0.9633587786259542,0.08333333333333333
no_contract,4,12,0,12,543.0,0.905,0.9042357274401474,0.25
no_contract,4,12,0,12,594.0,0.99,0.9986531986531987,0.0
no_contract,4,12,0,12,528.0,0.88,0.9674242424242424,0.08333333333333333
no_contract,4,12,0,12,572.0,0.9533333333333334,0.9972027972027973,0.08333333333333333
no_contract,4,12,0,12,540.0,0.9,0.9822222222222222,0.08333333333333333
no_contract,5,12,0,12,557.0,0.9283333333333333,0.9935368043087971,0.0
no_contract,5,12,0,12,526.0,0.8766666666666667,0.9870722433460076,0.0
no_contract,5,11,0,11,508.0,0.9236363636363636,0.9826771653543307,0.0
no_contract,5,12,0,12,546.0,0.91,0.9809523809523809,0.08333333333333333
no_contract,5,12,0,12,539.0,0.8983333333333333,0.9873840445269016,0.0
